word,kanji,katakana,meaning
いきます,行きます,,go
かえります,帰ります,,"go home, return"
きます,来ます,,come
がっこう,学校,,school
スーパー,,1,supermarket
えき,駅,,station
ひこうき,飛行機,,airplane
ふね,船,,ship
でんしゃ,電車,,electric train
ちかてつ,地下鉄,,"subway, underground"
しんかんせん,新幹線,,"Shinkansen, the bullet train"
バス,,1,bus
タクシー,,1,taxi
じてんしゃ,自転車,,bicycle
あるいて,歩いて,,on foot
ひと,人,,"person, people"
ともだち,友達,,friend
かれ,彼,,"he, boyfriend, lover"
かのじょ,彼女,,"she, girlfriend, lover"
かぞく,家族,,family
ひとりで,一人で,,"alone, by oneself"
せんしゅう,先週,,last week
こんしゅう,今週,,this week
らいしゅう,来週,,next week
せんげつ,先月,,last month
こんげつ,今月,,this month
らいげつ,来月,,next month
きょねん,去年,,last year
ことし,,,this year
らいねん,来年,,next year
ねん,...年,,...year
なんねん,何年,,"what year, how many years"
がつ,...月,,...month
なんがつ,何月,,what month
ついたち,１日,,First day of the month
ふつか,２日,,"second, two days"
みっか,３日,,"third, three days"
よっか,４日,,"fourth, four days"
いつか,５日,,"fifth, five days"
むいか,６日,,"sixth, six days"
なのか,７日,,"seventh, seven days"
ようか,８日,,"eighth, eight days"
ここのか,９日,,"ninth, nine days"
とおか,10日,,"tenth, ten days"
じゅうよっか,14日,,"fourteenth, fourteen days"
はつか,20日,,"twentieth, twenty days"
にじゅうよっか,24日,,"twenty fourth, twenty four days"
にち,～日,,day
なんにち,何日,,"which day of the month, how many days"
いつ,,,when
たんじょうび,誕生日,,birthday
どうもありがとうございました。,,,Thank you very much.
どういたしまして。,,,You’re welcome.
ばんせん,...番線,,...platform
つぎ,次の,,next
ふつう,普通,,local train
きゅうこう,急行,,rapid train
とっきゅう,特急,,express train
そうですね。,,,I agree.
こうしえん,甲子園,,Koshien (city in Hyogo)
おおさかじょう,大阪城,,Osaka Castle (famous castle in Osaka)
