word,kanji,katakana,meaning
きます,着ます,,"put on (a shirt, etc.)"
はきます,,,"put on (shoes, trousers etc.)"
かぶります,,,"put on (a hat, etc.)"
かけます,,,put on (眼鏡を～)
します,,,put on (ネクタイを～)
うまれます,生まれます,,be born
わたしたち,,,we
コート,,1,coat
セーター,,1,sweater
スーツ,,1,suit
ぼうし,帽子,,"hat, cap"
めがね,眼鏡,,glasses
ケーキ,,1,cake
おべんとう,お弁当,,lunch box
ロボット,,1,robot
ユーモア,,1,humor
つごう,都合,,"availability, convenience"
よく,,,often
おさがしですか,お探しですか 。,,Are you looking for…?
では,,,then
こちら,,,this (polite これ)
やちん,家賃,,house rent
ダイニングキッチン,,1,kitchen with a dining area
わしつ,和室,,Japanese-style room with Tatami
おしいれ,押し入れ,,Japanese-style closet
ふとん,布団,,Japanese-style mattress and quilt
えーと,,,errr…
おめでとうございます。,,,Congratulation.
パリ,,1,Paris
ばんりのちょうじょう,万里の長城,,The great wall of China
アンケート,,1,questionnaire
