word,kanji,katakana,meaning
ハンサムな,,1,"handsome, nice guy"
きれいな,,,"beautiful, clean"
しずかな,静かな,,quiet
にぎやかな,,,lively
ゆうめいな,有名な,,famous
しんせつな,親切な,,kind
げんきな,元気な,,"cheerful, energetic"
ひまな,暇な,,"bored, nothing to do"
べんりな,便利な,,convenient
すてきな,,,"wonderful, cool"
おおきい,大きい,,big
ちいさい,小さい,,small
あたらしい,新しい,,new
ふるい,古い,,old
いい（よい）,,,good
わるい,悪い,,bad
あつい,暑い、熱い,,hot
さむい,寒い,,cold (feeling)
つめたい,冷たい,,cold (temperature)
むずかしい,難しい,,difficult
やさしい,易しい,,easy
たかい,高い,,"high, expensive"
やすい,安い,,"cheap, inexpensive"
ひくい,低い,,low
おもしろい,,,"funny, interesting"
おいしい,,,"yummy, good taste"
いそがしい,忙しい,,busy
たのしい,楽しい,,enjoyable
しろい,白い,,white (adjective)
くろい,黒い,,black (adjective)
あかい,赤い,,red (adjective)
あおい,青い,,blue (adjective)
さくら,桜,,cherry (blossom)
やま,山,,mountain
まち,町,,"town, city"
たべもの,食べ物,,food
ところ,所,,place
りょう,寮,,dormitory
レストラン,,1,restaurant
せいかつ,生活,,life
おしごと,お仕事,,"work, business, job (～をします)"
どう,,,how
どんな～,,,what kind of (followed by noun)
とても,,,very
あまり,,,not so (followed by negative expression)
そして,,,"and, and then, in addition"
～が、～,,,but
もういっぱいいかがですか,もう一杯いかがですか。,,Won’t you have another cup of ~?
いいえ、けっこうです。,,,"No, thank you."
もう～ですね。,,,"it’s already ~ , isn’t it?"
そろそろしつれいします,そろそろ失礼します。,,It’s almost time to leave now.
いいえ。,,,No.
またいらっしゃってください。,,,Please come again.
おげんきですか,お元気ですか。,,How are you?
そうですね。,,,Well.
シャンハイ,,1,Shanghai
きんかくじ,金閣寺,,Kinkakuji-temple
ならこうえん,奈良公園,,Nara park
ふじさん,富士山,,Fujisan mountain
しちにんのさむらい,七人の侍,,Seven Samurai - Japanese epic samurai action film
