word,kanji,katakana,meaning
おきます,起きます,,"get up, wake up"
ねます,寝ます,,"sleep, go to bed"
はたらきます,働きます,,work
やすみます,休みます,,"take a rest, take a holiday"
おわります,終わります,,finish
べんきょうします,勉強します,,study
デパート,,1,department store
ぎんこう,銀行,,bank
ゆうびんきょく,郵便局,,post office
としょかん,図書館,,library
びじゅつかん,美術館,,art museum
いま,今,,now
じ,...時,,...o’clock
ふん,...分,,...minutes
はん,半,,half
なんじ,何時,,what time
なんぷん,何分,,what minute
ごぜん,午前,,"a.m., morning"
ごご,午後,,"p.m., afternoon"
あさ,朝,,morning
ひる,昼,,"daytime, noon"
ばん,晩,,"night, evening"
よる,夜,,"night, evening"
おととい,,,the day before yesterday
きのう,,,yesterday
きょう,,,today
あした,,,tomorrow
あさって,,,the day after tomorrow
けさ,,,this morning
こんばん,今晩,,"this evening, tonight"
やすみ,休み,,"rest, a holiday, a day off"
ひるやすみ,昼休み,,lunchtime
しけん,試験,,examination
かいぎ,会議,,meeting (～をします)
えいが,映画,,"cinema, movie"
まいあさ,毎朝,,every morning
まいばん,毎晩,,every night
まいにち,毎日,,every day
げつようび,月曜日,,Monday
かようび,火曜日,,Tuesday
すいようび,水曜日,,Wednesday
もくようび,木曜日,,Thursday
きんようび,金曜日,,Friday
どようび,土曜日,,Saturday
にちようび,日曜日,,Sunday
なんようび,何曜日,,what day of the week
～から,,,from
～まで,,,"up to, until"
～と～,,,and
ばんごう,番号,,number
なんばん,何番,,what number
そちら,,,"there, on your end, your side"
たいへんですね,大変ですね。,,"It’s a tough job, isn’t it?"
ニューヨーク,,1,New York (city in USA)
ペキン,,1,Beijing (city in PRC)
ロサンゼルス,,1,Los Angels (city in USA)
ロンドン,,1,London (city in UK)
アップル,,1,apple
みどり,,,green
やまと,,,Ancient Japan
